lat,lon
45.5375923,9.4795444
45.5577087,8.9478662
45.487171,9.0310156
45.489931,9.0498778
45.6813652,9.244416
45.4892979,9.053817
45.5234499,9.1926098
45.4855692,9.1976112
45.4360737,9.2399615
45.5730744,9.0597349
45.575135,9.0619022
45.5193207,9.169975
45.5210579,9.1691899
45.5121684,9.1704534
45.463943,9.3108511
45.4623895,9.3136061
45.5611973,9.2282598
45.4264071,9.264606
45.5494613,9.2453025
45.4770033,9.108868
45.5093058,9.2027363
45.5086639,9.2004984
45.5067569,9.2014068
45.4538276,9.1690223
45.4528071,9.1663051
45.5990889,9.1453359
45.4839694,9.2425222
45.5034426,9.2207933
45.3772187,9.2139009
45.4510463,9.1706976
45.4199151,9.1929632
45.4619892,9.2283974
45.4628035,9.2275554
45.4619632,9.2279965
45.4623323,9.2329266
45.5048616,9.1850903
45.4802026,9.2195274
45.4797273,9.2210821
45.479291,9.2210553
45.4813695,9.2177821
45.4802125,9.2205886
45.4817289,9.2173437
45.4789939,9.2209909
45.4794999,9.2214065
45.4755305,9.2129604
45.4749615,9.2141889
45.4816164,9.2225848
45.4833612,9.2229063
45.4750857,9.2130892
45.6027867,9.0222216
45.6153415,9.0433033
45.4597139,9.1810584
45.4823169,9.2301815
45.4719224,9.2288156
45.4811105,9.2350653
45.4847055,9.1979499
45.5352096,9.4859079
45.5982322,9.2558641
45.6000098,9.2594088
45.5110468,9.2148813
45.4665023,9.1762594
45.5254862,9.3318745
45.4676397,9.2248773
45.468981,9.2246018
45.4688031,9.2234531
45.5001746,9.2457588
45.4537105,9.2156412
45.5522176,9.028919
45.4265167,9.2654812
45.4612236,9.1355345
45.4632511,9.1594139
45.4640647,9.1607256
45.4725183,9.187425
45.4726094,9.1875402
45.4691,9.188079
45.469671,9.1849794
45.5659716,9.166191
45.5046046,9.1991462
45.4728755,9.1947871
45.509278,9.1317513
45.5577989,9.1711195
45.5658072,9.1608961
45.5686796,9.1644038
45.5685662,9.1649642
45.3595589,9.1601102
45.3594484,9.15727
45.3497384,9.1648685
45.3490409,9.1648631
45.5970246,9.3779114
45.4765075,9.2116438
45.5907136,9.2093625
45.6266402,9.0733764
45.4433612,9.1381387
45.5352832,9.3766169
45.5349713,9.3725883
45.4671528,9.1891788
45.4578389,9.177196
45.684218,9.2533859
45.4180046,9.2573233
45.4515042,9.1742847
45.4657135,9.1916606
45.4656291,9.1983557
45.4659512,9.1988089
45.5575287,9.017428
45.5476692,9.0193543
45.6597487,9.2586627
45.4361423,9.2970425
45.5567159,9.4351377
45.4560484,9.1814226
45.4906241,9.2251227
45.4886479,9.2237486
45.5361619,9.1875311
45.4672054,9.1537383
45.4625833,9.1895213
45.4655341,9.1763139
45.4620072,9.1905281
45.4833922,9.2040017
45.4679381,9.1522138
45.4660636,9.1598109
